Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
70,UDP,10.0.2.15,192.168.0.1,63575,53,,,domain,2,280 Bytes,410 Bytes,,10/25/2022 8:41:17 AM:418,10/25/2022 8:41:17 AM:433,00:00.0
71,TCP,10.0.2.15,117.18.232.240,49765,80,,,http,8,"1,348 Bytes","2,020 Bytes",3.2 KB/Sec,10/25/2022 8:41:17 AM:479,10/25/2022 8:42:37 AM:741,01:20.3
72,UDP,10.0.2.15,192.168.0.1,55034,53,,,domain,2,219 Bytes,355 Bytes,,10/25/2022 8:41:17 AM:588,10/25/2022 8:41:17 AM:588,00:00.0
73,TCP,10.0.2.15,13.107.4.50,49766,80,,,http,8,670 Bytes,"1,447 Bytes",40.9 KB/Sec,10/25/2022 8:41:17 AM:678,10/25/2022 8:41:24 AM:761,00:07.1
74,TCP,10.0.2.15,104.120.154.29,49767,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,21,"7,250 Bytes","8,349 Bytes",17.4 KB/Sec,10/25/2022 8:41:17 AM:916,10/25/2022 8:42:37 AM:213,01:19.3
75,TCP,10.0.2.15,117.18.232.240,49768,80,,,http,8,"1,348 Bytes","2,020 Bytes",3.4 KB/Sec,10/25/2022 8:41:18 AM:324,10/25/2022 8:42:37 AM:740,01:19.4
76,UDP,10.0.2.15,192.168.0.1,55218,53,,,domain,2,173 Bytes,309 Bytes,,10/25/2022 8:41:18 AM:558,10/25/2022 8:41:18 AM:573,00:00.0
77,TCP,10.0.2.15,41.63.105.0,49769,80,,https-41-63-105-0.hyd.llnw.net,http,172,"199,814 Bytes","207,157 Bytes",2098.2 KB/Sec,10/25/2022 8:41:18 AM:589,10/25/2022 8:41:48 AM:879,00:30.3
78,TCP,10.0.2.15,41.63.105.128,49770,80,,https-41-63-105-128.hyd.llnw.net,http,354,"396,830 Bytes","411,453 Bytes",4167.0 KB/Sec,10/25/2022 8:41:18 AM:589,10/25/2022 8:41:48 AM:879,00:30.3
79,UDP,10.0.2.15,192.168.0.1,54498,53,,,domain,2,221 Bytes,352 Bytes,,10/25/2022 8:41:19 AM:948,10/25/2022 8:41:19 AM:948,00:00.0
80,TCP,10.0.2.15,40.119.249.228,49771,443,,,https,41,"24,580 Bytes","26,476 Bytes",,10/25/2022 8:41:20 AM:011,10/25/2022 8:41:20 AM:355,00:00.3
81,TCP,10.0.2.15,20.42.73.24,49772,443,,,https,21,"8,004 Bytes","9,098 Bytes",,10/25/2022 8:41:20 AM:199,10/25/2022 8:41:22 AM:027,00:01.8
82,TCP,10.0.2.15,13.107.4.50,49773,80,,,http,8,670 Bytes,"1,447 Bytes",,10/25/2022 8:41:26 AM:386,10/25/2022 8:41:28 AM:511,00:02.1
83,UDP,10.0.2.15,224.0.0.251,5353,5353,,,,6,240 Bytes,476 Bytes,14.6 KB/Sec,10/25/2022 8:41:28 AM:714,10/25/2022 8:41:31 AM:776,00:03.1
84,UDP,10.0.2.15,192.168.0.1,54754,53,,,domain,2,175 Bytes,295 Bytes,,10/25/2022 8:41:28 AM:746,10/25/2022 8:41:28 AM:746,00:00.0
85,TCP,10.0.2.15,13.107.21.239,49774,443,,,https,37,"10,268 Bytes","12,305 Bytes",626.7 KB/Sec,10/25/2022 8:41:28 AM:777,10/25/2022 8:41:36 AM:391,00:07.6
86,UDP,10.0.2.15,192.168.0.1,59424,53,,,domain,2,186 Bytes,319 Bytes,,10/25/2022 8:41:29 AM:449,10/25/2022 8:41:29 AM:449,00:00.0
87,TCP,10.0.2.15,40.125.122.151,49775,443,,,https,31,"4,823 Bytes","6,319 Bytes",294.4 KB/Sec,10/25/2022 8:41:29 AM:713,10/25/2022 8:41:30 AM:636,00:00.9
88,UDP,10.0.2.15,192.168.0.1,62287,53,,,domain,2,219 Bytes,355 Bytes,,10/25/2022 8:41:30 AM:495,10/25/2022 8:41:30 AM:495,00:00.0
89,TCP,10.0.2.15,13.107.4.50,49776,80,,,http,416,"491,862 Bytes","508,963 Bytes",5109.9 KB/Sec,10/25/2022 8:41:30 AM:526,10/25/2022 8:41:51 AM:858,00:21.3
90,UDP,10.0.2.15,192.168.0.1,54327,53,,,domain,2,221 Bytes,352 Bytes,,10/25/2022 8:41:35 AM:635,10/25/2022 8:41:36 AM:464,00:00.8
91,UDP,10.0.2.15,192.168.0.1,49451,53,,,domain,2,239 Bytes,368 Bytes,,10/25/2022 8:41:35 AM:965,10/25/2022 8:41:36 AM:495,00:00.5
92,TCP,10.0.2.15,20.198.2.140,49779,443,,,https,28,"7,835 Bytes","9,207 Bytes",478.2 KB/Sec,10/25/2022 8:41:36 AM:605,10/25/2022 8:41:36 AM:871,00:00.3
93,TCP,10.0.2.15,20.42.73.24,49778,443,,,https,20,"7,916 Bytes","8,970 Bytes",515.4 KB/Sec,10/25/2022 8:41:36 AM:780,10/25/2022 8:41:37 AM:761,00:01.0
94,TCP,10.0.2.15,20.42.73.24,49781,443,,,https,21,"7,916 Bytes","9,010 Bytes",,10/25/2022 8:41:41 AM:967,10/25/2022 8:41:43 AM:029,00:01.1
95,UDP,10.0.2.15,192.168.0.1,64382,53,,,domain,2,214 Bytes,350 Bytes,,10/25/2022 8:41:44 AM:482,10/25/2022 8:41:44 AM:482,00:00.0
96,TCP,10.0.2.15,104.120.154.29,49782,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,20,"7,779 Bytes","8,838 Bytes",11.6 KB/Sec,10/25/2022 8:41:44 AM:514,10/25/2022 8:43:20 AM:296,01:35.8
97,TCP,10.0.2.15,117.18.232.240,49783,80,,,http,8,"1,540 Bytes","2,212 Bytes",2.0 KB/Sec,10/25/2022 8:41:44 AM:669,10/25/2022 8:43:25 AM:310,01:40.6
98,UDP,10.0.2.15,192.168.0.1,53139,53,,,domain,2,221 Bytes,352 Bytes,,10/25/2022 8:41:44 AM:873,10/25/2022 8:41:44 AM:888,00:00.0
99,TCP,10.0.2.15,20.42.73.24,49784,443,,,https,25,"11,195 Bytes","12,449 Bytes",728.8 KB/Sec,10/25/2022 8:41:45 AM:154,10/25/2022 8:41:46 AM:575,00:01.4
100,UDP,10.0.2.15,192.168.0.1,59439,53,,,domain,2,156 Bytes,292 Bytes,,10/25/2022 8:41:45 AM:466,10/25/2022 8:41:45 AM:466,00:00.0
101,TCP,10.0.2.15,209.197.3.8,49785,80,,vip0x008.map2.ssl.hwcdn.net,http,7,650 Bytes,"1,395 Bytes",42.3 KB/Sec,10/25/2022 8:41:45 AM:639,10/25/2022 8:41:45 AM:732,00:00.1
102,TCP,10.0.2.15,104.120.154.29,49786,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,21,"7,779 Bytes","8,878 Bytes",12.2 KB/Sec,10/25/2022 8:41:45 AM:889,10/25/2022 8:43:20 AM:296,01:34.4
103,TCP,10.0.2.15,117.18.232.240,49787,80,,,http,8,"1,539 Bytes","2,211 Bytes",2.1 KB/Sec,10/25/2022 8:41:46 AM:279,10/25/2022 8:43:25 AM:310,01:39.0
104,UDP,10.0.2.15,192.168.0.1,62564,53,,,domain,2,337 Bytes,453 Bytes,,10/25/2022 8:41:47 AM:404,10/25/2022 8:41:47 AM:404,00:00.0
105,TCP,10.0.2.15,40.126.17.133,49788,443,,,https,37,"19,141 Bytes","20,860 Bytes",,10/25/2022 8:41:47 AM:466,10/25/2022 8:41:47 AM:842,00:00.4
106,UDP,10.0.2.15,192.168.0.1,64247,53,,,domain,2,260 Bytes,385 Bytes,,10/25/2022 8:41:47 AM:935,10/25/2022 8:41:47 AM:951,00:00.0
107,TCP,10.0.2.15,13.107.246.58,49789,443,,,https,29,"8,921 Bytes","10,329 Bytes",,10/25/2022 8:41:47 AM:982,10/25/2022 8:41:48 AM:576,00:00.6
108,UDP,10.0.2.15,192.168.0.1,59747,53,,,domain,2,256 Bytes,393 Bytes,,10/25/2022 8:41:48 AM:842,10/25/2022 8:41:48 AM:842,00:00.0
109,TCP,10.0.2.15,117.18.232.240,49790,80,,,http,8,926 Bytes,"1,710 Bytes",,10/25/2022 8:41:48 AM:936,10/25/2022 8:41:51 AM:622,00:02.7
110,TCP,10.0.2.15,40.125.122.151,49791,443,,,https,32,"4,819 Bytes","6,355 Bytes",294.1 KB/Sec,10/25/2022 8:41:51 AM:826,10/25/2022 8:41:59 AM:060,00:07.2
111,UDP,10.0.2.15,192.168.0.1,61317,53,,,domain,8,866 Bytes,"1,165 Bytes",0.3 KB/Sec,10/25/2022 8:41:52 AM:638,10/25/2022 8:47:01 AM:120,05:08.5
112,TCP,10.0.2.15,52.182.143.211,49792,443,,,https,20,"8,094 Bytes","9,148 Bytes",,10/25/2022 8:41:52 AM:919,10/25/2022 8:41:53 AM:935,00:01.0
