Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
5374,UDP,10.15.13.179,10.0.2.4,54793,31626,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:082,11/8/2022 12:17:16 PM:424,01:39.3
5375,UDP,10.15.13.179,10.0.2.4,54793,31628,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:084,11/8/2022 12:17:16 PM:430,01:39.3
5376,UDP,10.15.13.179,10.0.2.4,54793,31629,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:087,11/8/2022 12:15:37 PM:087,00:00.0
5377,UDP,10.15.13.179,10.0.2.4,54793,31630,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:088,11/8/2022 12:17:16 PM:433,01:39.3
5378,UDP,10.15.13.179,10.0.2.4,54793,31631,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:090,11/8/2022 12:17:16 PM:438,01:39.3
5379,UDP,10.15.13.179,10.0.2.4,54793,31632,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:093,11/8/2022 12:17:16 PM:441,01:39.3
5380,UDP,10.15.13.179,10.0.2.4,54793,31633,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:095,11/8/2022 12:17:16 PM:442,01:39.3
5381,UDP,10.15.13.179,10.0.2.4,54793,31634,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:096,11/8/2022 12:17:16 PM:445,01:39.3
5382,UDP,10.15.13.179,10.0.2.4,54793,31635,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:096,11/8/2022 12:17:16 PM:448,01:39.4
5383,UDP,10.15.13.179,10.0.2.4,54793,31636,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:15:37 PM:101,11/8/2022 12:15:37 PM:103,00:00.0
5384,UDP,10.15.13.179,10.0.2.4,54793,31637,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:104,11/8/2022 12:17:16 PM:450,01:39.3
5385,UDP,10.15.13.179,10.0.2.4,54793,31638,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:106,11/8/2022 12:17:16 PM:453,01:39.3
5386,UDP,10.15.13.179,10.0.2.4,54793,31640,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:109,11/8/2022 12:17:16 PM:463,01:39.4
5387,UDP,10.15.13.179,10.0.2.4,54793,31641,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:111,11/8/2022 12:17:16 PM:464,01:39.4
5388,UDP,10.15.13.179,10.0.2.4,54793,31642,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:112,11/8/2022 12:17:16 PM:465,01:39.4
5389,UDP,10.15.13.179,10.0.2.4,54793,31643,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:112,11/8/2022 12:17:16 PM:467,01:39.4
5390,UDP,10.15.13.179,10.0.2.4,54793,31644,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:114,11/8/2022 12:17:16 PM:470,01:39.4
5391,UDP,10.15.13.179,10.0.2.4,54793,31645,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:118,11/8/2022 12:17:16 PM:475,01:39.4
