Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
534,TCP,10.0.2.15,173.194.52.231,50575,443,,bom07s42-in-f7.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",181.4 KB/Sec,10/25/2022 9:33:45 AM:667,10/25/2022 9:34:01 AM:211,00:15.5
535,UDP,10.0.2.15,172.217.141.166,61914,443,,maa05s38-in-f6.1e100.net,https,496,"475,523 Bytes","490,689 Bytes",3317.0 KB/Sec,10/25/2022 9:33:46 AM:885,10/25/2022 9:34:20 AM:261,00:33.4
536,TCP,10.0.2.15,52.148.148.114,50576,443,,,https,24,"3,850 Bytes","5,067 Bytes",121.3 KB/Sec,10/25/2022 9:33:48 AM:903,10/25/2022 9:34:02 AM:330,00:13.4
537,UDP,10.0.2.15,183.82.15.178,52220,443,,broadband.actcorp.in,https,"2,093","2,126,808 Bytes","2,186,690 Bytes",6037.7 KB/Sec,10/25/2022 9:33:55 AM:309,10/25/2022 9:34:42 AM:245,00:46.9
538,TCP,10.0.2.15,183.82.15.178,50577,443,,broadband.actcorp.in,https,14,"5,549 Bytes","6,666 Bytes",338.7 KB/Sec,10/25/2022 9:34:00 AM:140,10/25/2022 9:34:04 AM:589,00:04.4
539,TCP,10.0.2.15,173.194.52.231,50578,443,,bom07s42-in-f7.1e100.net,https,84,"72,375 Bytes","76,292 Bytes",1536.5 KB/Sec,10/25/2022 9:34:04 AM:489,10/25/2022 9:34:14 AM:098,00:09.6
540,TCP,10.0.2.15,173.194.52.231,50579,443,,bom07s42-in-f7.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",374.9 KB/Sec,10/25/2022 9:34:04 AM:973,10/25/2022 9:34:09 AM:383,00:04.4
541,UDP,10.0.2.15,192.168.0.1,62284,53,,,domain,4,428 Bytes,620 Bytes,,10/25/2022 9:34:06 AM:418,10/25/2022 9:34:07 AM:776,00:01.4
542,UDP,10.0.2.15,192.168.0.1,58683,53,,,domain,4,204 Bytes,387 Bytes,,10/25/2022 9:34:06 AM:853,10/25/2022 9:34:08 AM:502,00:01.6
543,UDP,10.0.2.15,192.168.0.1,50302,53,,,domain,4,712 Bytes,885 Bytes,,10/25/2022 9:34:06 AM:858,10/25/2022 9:34:08 AM:555,00:01.7
